seed,sample_index,initial_range_m,initial_closing_speed_mps,camera_azimuth_deg,camera_elevation_deg,camera_u_fraction,camera_v_fraction,image_plane_bucket,camera_elevation_bucket,camera_azimuth_bucket,ivbs_caught,beihang_caught,outcome_class,ivbs_min_distance_m,beihang_min_distance_m,ivbs_visible_fraction,beihang_visible_fraction,ivbs_control_effort,beihang_control_effort,visibility_bucket,closing_bucket
440,439,20.000000233779524,1.9843477787484176,55.752010483347,22.446501441826953,-0.12144764668303314,0.057140076670301,center,level,front_right,False,False,shared_miss,15.650059700012207,5.403223991394043,0.065,0.07,3.491890791221742,7.30821636321872,02_0.05_0.10,02_ge_0.45
441,440,19.999999907731898,1.6441120658817845,340.05024275644115,-24.62596948978366,0.567370442363583,-0.6881949572092926,mid,level,front_left,False,False,shared_miss,4.969532489776611,3.8691136837005615,0.085,0.06166666666666667,14.461424380886656,9.9653254450282,02_0.05_0.10,02_ge_0.45
442,441,20.000000224954782,1.6119697220371927,219.87908667666446,37.440029662591385,-0.647363258808152,0.6007551786996772,mid,up,rear_left,False,False,shared_miss,19.702001571655273,13.65489387512207,0.03333333333333333,0.03333333333333333,3.822722509973712,6.099526200698094,01_0.02_0.05,02_ge_0.45
443,442,20.000000672201868,1.9027041370766424,104.3196918296358,-34.419174969189456,0.21020462498832512,-0.42673199226917347,mid,down,rear_right,False,False,shared_miss,6.2479329109191895,2.4690918922424316,0.041666666666666664,0.10166666666666667,12.409417367977033,10.116620169038589,01_0.02_0.05,02_ge_0.45
444,443,19.999999986937752,1.5369963921083873,148.96153205955898,62.13344591150067,0.8232922992754564,-0.21503359009632178,edge,up,rear_right,False,False,shared_miss,19.830272674560547,19.363920211791992,0.07333333333333333,0.06,6.821997887084487,7.413350067839229,02_0.05_0.10,02_ge_0.45
445,444,19.999999828189765,1.7068680150392073,269.4316363229867,-65.66825664485705,-0.37188015234374416,0.8390567971180234,edge,down,rear_left,False,False,shared_miss,6.071705341339111,4.291651725769043,0.13166666666666665,0.08333333333333333,5.117909065712089,9.078868168672674,03_ge_0.10,02_ge_0.45
446,445,19.99999979219219,1.80173889249745,295.4171583881225,5.449622559056297,0.395594722936672,-0.47652152093840205,mid,level,front_left,False,False,shared_miss,9.281270027160645,4.890905380249023,0.13166666666666665,0.05333333333333334,7.18787540880659,7.771684532359911,03_ge_0.10,02_ge_0.45
447,446,20.0000000722068,1.506897085922243,6.185894379538539,-4.338206297646403,-0.8558276827164235,0.2954666483603265,edge,level,front_right,False,False,shared_miss,10.738856315612793,4.105920791625977,0.15,0.04,5.545692490969438,6.693692372183339,03_ge_0.10,02_ge_0.45
448,447,19.999999857812234,1.6564720090530627,18.962179056638995,2.8352902275022123,0.6541292376582429,-0.29947073851643147,mid,level,front_right,False,False,shared_miss,9.091426849365234,4.789380073547363,0.14,0.04833333333333333,7.642232689866558,7.294808726362125,03_ge_0.10,02_ge_0.45
449,448,19.999999454123774,1.8929760158960993,308.0505403475285,-1.7305463917874861,-0.20381102468745266,0.47349441792052965,mid,level,front_left,False,False,shared_miss,7.732834339141846,3.5447604656219482,0.12,0.04,8.80134706077087,6.6221687190945575,03_ge_0.10,02_ge_0.45
450,449,19.999999916214854,1.7890906773759694,256.6702834064927,74.51840714754869,0.11502991966425215,-0.8422077775094098,edge,up,rear_left,False,False,shared_miss,19.839601516723633,16.088542938232422,0.0838095238095238,0.08833333333333333,7.341162049676395,10.017678440227996,02_0.05_0.10,02_ge_0.45
451,450,19.999999137713722,1.724828954386101,136.32076792068244,-82.21855295157474,-0.5741603469673301,0.21115329917247588,mid,down,rear_right,False,False,shared_miss,19.991252899169922,19.991252899169922,0.0,0.0,0.010338053949586907,0.010326935055550853,00_lt_0.02,02_ge_0.45
452,451,20.00000012944402,1.8090662279344958,94.50018849004492,34.03357165277236,-0.4032792099936421,0.4228138427329541,mid,up,rear_right,False,False,shared_miss,19.64903450012207,10.368915557861328,0.041666666666666664,0.04,3.634534804095512,6.5564298784117065,01_0.02_0.05,02_ge_0.45
453,452,20.000000425939238,1.4737899673291894,209.91667590643283,-31.126543273007552,0.8485398909646795,-0.6038683240502163,edge,down,rear_left,False,False,shared_miss,8.666107177734375,4.28316593170166,0.10666666666666667,0.05333333333333334,5.267576957888819,9.138970358302691,03_ge_0.10,02_ge_0.45
454,453,20.000000010924804,1.4815207336916323,349.8798702189603,27.28297148799297,-0.8160353383174483,0.6851781343637585,edge,level,front_left,False,False,shared_miss,17.313875198364258,11.8831205368042,0.03333333333333333,0.03,3.6873418368579003,6.0983829073322475,01_0.02_0.05,02_ge_0.45
455,454,20.00000036522745,1.8688385785469745,65.70222932859686,-29.558947015851125,0.3795337843323718,-0.06115449434001192,mid,level,front_right,False,False,shared_miss,5.210037708282471,3.432785987854004,0.10166666666666667,0.058333333333333334,3.4529238005932936,9.844243054091244,03_ge_0.10,02_ge_0.45
456,455,20.0000000954334,1.5810129583351429,75.30116241273501,50.05052794823323,-0.7167059103887129,-0.5096685045824934,edge,up,front_right,False,False,shared_miss,19.80231475830078,13.33686637878418,0.075,0.07166666666666667,6.2437976706551925,8.066126526666372,02_0.05_0.10,02_ge_0.45
457,456,20.00000026096971,7.593933131318766,272.1568897213896,12.614120101950302,0.25233888242552754,0.3720057488552515,mid,level,front_left,False,False,shared_miss,12.681934356689453,2.254673480987549,0.11833333333333333,0.04833333333333333,4.837785516407363,7.032556830074241,03_ge_0.10,02_ge_0.45
458,457,19.999999091264115,7.413407756860706,47.73678121273137,-9.175552867316197,-0.3812325089583528,-0.23984047945493783,mid,level,front_right,False,False,shared_miss,7.251327037811279,1.5598275661468506,0.06666666666666667,0.09333333333333334,14.646482156846554,9.57195492079554,02_0.05_0.10,02_ge_0.45
459,458,19.999999547482975,6.483088943316202,111.91859700128141,79.18359558992614,0.6265470561467181,0.6248472541977692,mid,up,rear_right,False,False,shared_miss,17.168657302856445,16.84733009338379,0.021666666666666667,0.023333333333333334,7.917484581120873,5.201118645043771,01_0.02_0.05,02_ge_0.45
460,459,20.00000060366499,6.780814467872114,247.39410951942793,-63.08685093701511,-0.5396693151789146,-0.5495906089375094,mid,down,rear_left,False,False,shared_miss,19.966032028198242,19.966032028198242,0.0,0.0,0.009381557614486837,0.009748812776605031,00_lt_0.02,02_ge_0.45
461,460,19.99999932159878,7.258007191271286,211.73015450408425,45.69372180968291,-0.020824890859861816,-0.802145849844764,edge,up,rear_left,False,False,shared_miss,16.3768367767334,5.216289520263672,0.13,0.085,3.7507854987494618,8.50403229525922,03_ge_0.10,02_ge_0.45
462,461,20.000000638951235,7.320488467089747,167.22764309919827,-41.02289721940027,0.16295699540955652,0.7093116686817938,edge,down,rear_right,False,False,shared_miss,7.069610595703125,2.8817672729492188,0.095,0.1,4.968786757373421,9.496750155906682,02_0.05_0.10,02_ge_0.45
463,462,19.99999943028398,6.086592105652229,34.5341970254457,28.882415732321157,-0.8441541154024974,-0.21183210970154948,edge,level,front_right,False,False,shared_miss,15.666699409484863,7.294206619262695,0.13166666666666665,0.016666666666666666,3.0233411289836165,6.5952288075580405,03_ge_0.10,02_ge_0.45
464,463,20.00000025987822,6.329125500210237,350.09211503762634,-23.133467133218847,0.7722726900431718,0.06208827988437196,edge,level,front_left,False,False,shared_miss,12.635483741760254,3.019927978515625,0.08833333333333333,0.06,19.101595975424793,6.827460021966823,02_0.05_0.10,02_ge_0.45
465,464,19.999999635453836,6.007570731612742,315.4716817924739,53.558581214556625,-0.7380031622222054,0.8282234804704972,edge,up,front_left,False,False,shared_miss,16.456283569335938,13.435404777526855,0.016666666666666666,0.015,5.063936494786628,5.355399822733745,00_lt_0.02,02_ge_0.45
466,465,19.99999938295793,5.748018646336663,0.2598202048246742,-55.41802607906887,0.8801970727385906,-0.697815504376981,edge,down,front_right,False,False,shared_miss,14.423583030700684,13.06645679473877,0.03893805309734513,0.07666666666666666,17.02232222216882,9.120446869426445,01_0.02_0.05,02_ge_0.45
467,466,20.000000342484867,7.89318493483507,155.10128312985609,0.31228867703034124,-0.1269295308165957,0.1827881949390546,center,level,rear_right,False,False,shared_miss,9.22192668914795,0.8548468351364136,0.06166666666666667,0.11,13.170683037378419,8.507775621789959,02_0.05_0.10,02_ge_0.45
468,467,20.000000382786762,7.973070721616925,199.96084038599574,-6.800748601699823,0.05510991697139322,-0.10577429907209199,center,level,rear_left,False,True,beihang_only,4.387479305267334,0.48338955640792847,0.04666666666666667,0.13902439024390245,14.741326922899507,3.244886346910157,01_0.02_0.05,02_ge_0.45
469,468,20.000000387906404,6.9814899640336545,257.76792059458234,17.53755529754494,0.5194485172438558,-0.3601281920753075,mid,level,rear_left,False,False,shared_miss,13.866595268249512,3.5576212406158447,0.09333333333333334,0.056666666666666664,5.162688448478598,8.683798251097523,02_0.05_0.10,02_ge_0.45
470,469,20.00000089367076,6.657257848935371,122.64945110467363,-18.698110190396505,-0.6485137269631115,0.2655357445003112,mid,level,rear_right,False,False,shared_miss,11.487573623657227,3.1391355991363525,0.08166666666666667,0.045,5.956548917159789,6.837012176904871,02_0.05_0.10,02_ge_0.45
471,470,19.9999993109626,7.0770950593713104,80.61617017267223,30.43740751528617,0.35925385267314897,-0.6680358553473742,mid,up,front_right,False,False,shared_miss,15.290183067321777,4.615706920623779,0.085,0.05,9.604202710100118,8.912309833151896,02_0.05_0.10,02_ge_0.45
472,471,20.000000032539884,7.413661208691976,305.3823414041897,-38.260029961308305,-0.2725476933006993,0.5200502613738549,mid,down,front_left,False,False,shared_miss,7.021349906921387,3.715391159057617,0.07833333333333334,0.10333333333333333,5.397447387209962,9.690717032311605,02_0.05_0.10,02_ge_0.45
473,472,20.00000070447424,6.161516305192578,300.2534223652437,35.83575680490551,0.8224629222129554,-0.16747864687977967,edge,up,front_left,False,False,shared_miss,16.115520477294922,8.705419540405273,0.15,0.028333333333333332,3.294797691807457,6.438302703161428,03_ge_0.10,02_ge_0.45
474,473,19.99999978090202,6.60608626365171,75.90400414699073,-32.84154659820825,-0.6830154461682005,0.00806693522393485,mid,down,front_right,False,False,shared_miss,11.529449462890625,4.283048152923584,0.07666666666666666,0.06333333333333334,12.309910358972534,7.015663011643155,02_0.05_0.10,02_ge_0.45
